experiment,id,date,data,extra,feedback
goalie_original,1,1/3/13,"1,100,0,13.872,0,100,0,11.057,2,100,0,11.352,3,0,100,8.789,5,0,0,13.027,4,100,100,9.864,6,0,0,7.089,7,100,100,6.844","0,2,22,5.190166666666666,1,2,1,2,1,1,2,2,1,1","I treated this like a dichotomy - you always play the odds - you get 100% credit for playing the odds and being right, and 0% blame for playing the odds and getting it wrong, and vice versa."
goalie_original,2,1/3/13,"1,46,100,11.36,0,97,1,8.875,2,37,41,6.563,3,78,78,7.531,5,66,86,6.969,6,55,61,5.032,4,96,20,6.984,7,73,54,6.922","0,2,27,2.5172,1,2,1,2,1,1,2,2,1,1",
goalie_original,3,1/3/13,"0,52,52,23.743,1,52,54,12.233,2,54,45,9.656,3,74,49,10.993,7,46,48,10.889,6,33,33,9.321,4,74,68,11.177,5,71,68,10.39","1,2,41,5.037316666666666,2,2,1,2,1,1,2,1,1,2",He was less blameworthy if he followed the percentages
goalie_original,4,1/3/13,"1,96,95,20.108,0,100,97,10.985,2,97,98,7.848,3,97,92,6.84,7,94,98,7.933,4,97,97,7.774,5,93,98,6.672,6,99,98,7.303","0,2,25,3.4028666666666667,1,2,1,2,1,2,2,2,1,1",None at all
goalie_original,5,1/3/13,"1,38,65,21.484,0,29,35,21.109,2,15,48,12.859,3,77,34,9.609,5,69,85,9.312,7,21,44,8.375,6,49,45,7.859,4,13,61,12","3,1,41,6.228916666666667,1,2,1,2,2,1,2,1,1,1","If they went against the majority percentage, they were more to blame than if they had followed what the striker normally does. Otherwise, I gave them more credit if they made the save with the lesser percentage."
goalie_original,6,1/3/13,"1,51,78,24.811,0,93,37,14.797,3,48,61,13.007,2,54,44,25.555,7,79,62,12.492,6,51,34,12.788,4,85,57,12.02,5,76,71,18.735","1,2,22,7.044833333333333,1,1,2,2,2,1,2,1,1,2",it's  generally mostly attributable to the goalkeeper if he gets a save or not. 
goalie_original,7,1/3/13,"1,15,94,13.781,0,93,12,12.469,3,88,25,7.094,2,92,18,10.234,6,27,3,13.562,7,10,35,7.172,4,94,57,11.297,5,55,100,7.469","2,2,25,5.029683333333334,1,2,1,2,1,1,2,2,1,1","If the goalkeeper went the opposite direction of the striker's tendency, and blocked it, then he deserves more credit than if he went in the same direction as the striker's tendency."
goalie_original,8,1/3/13,"0,93,6,13.419,1,69,100,11.481,2,50,51,8.358,3,64,55,9.841,4,95,55,8.826,7,26,50,7.607,5,63,94,6.296,6,39,5,8.561","3,2,25,4.857266666666667,1,2,2,2,1,1,2,1,1,1",Very much influenced. The goalkeeper had known the strikers tendencies.
goalie_original,9,1/3/13,"0,93,18,41.463,1,91,20,32.435,3,44,67,18.766,2,78,41,21.369,4,86,67,10.208,5,41,13,23.135,6,36,12,15.272,7,83,70,12.139","0,2,35,5.599166666666667,1,2,1,2,1,1,2,2,1,1",By how much each percentage was equal to.
goalie_original,10,1/3/13,"0,100,100,11.213,1,100,100,6.077,2,58,81,10.674,3,55,67,6.567,6,83,85,8.411,5,100,100,5.123,7,100,100,5.308,4,100,100,6.313","0,1,32,4.7996,1,2,1,2,2,1,2,2,1,2",The goalkeeper was to blame for every goal made regardless of the strikers tendancies. The goalkeeper was also to be credited for each save regardless of the strikers tendanceis.
goalie_original,11,1/3/13,"0,94,1,35.366,1,36,100,14.499,3,84,61,12.15,2,46,38,13.402,6,43,22,18.849,7,13,34,14.445,5,65,80,18.897,4,45,73,15.675","1,1,57,8.0892,1,2,1,2,1,1,2,2,1,1",I attributed more blame if the goalkeeper went against the high odds.
goalie_original,12,1/3/13,"0,76,50,33.031,1,100,100,11.331,2,11,69,9.914,3,51,17,9.32,5,100,100,6.413,4,81,52,7.094,7,80,38,8.639,6,25,82,8.876","5,2,63,5.633666666666667,1,2,1,2,1,1,2,1,1,1",percentage
goalie_original,13,1/3/13,"1,24,69,13.793,0,100,12,13.302,2,68,31,8.814,3,69,39,8.94,7,14,37,8.648,6,28,4,7.266,4,100,77,11.879,5,65,84,10.821","0,2,21,5.09565,1,2,1,2,1,1,2,2,1,1","The goalkeeper deserves less credit when following the striker's tendency. However, this also reduces the blame on the goalkeeper if the striker performs an unlikely behavior."
goalie_original,14,1/3/13,"0,95,18,15.406,1,33,98,13.141,2,24,21,9.5,3,75,41,8.015,4,98,52,11,5,56,93,8.703,6,33,10,7.719,7,30,49,8.204","0,2,27,4.900316666666667,1,2,1,2,1,1,2,2,1,1","I believed that the goalkeeper should have went with the odds every time.  If they did not, I would have the tendency to give them more blame."
goalie_original,15,1/3/13,"0,0,100,16,1,98,36,10.625,3,35,61,8.156,2,65,27,7.969,6,33,77,9.844,7,100,53,6.844,5,33,14,7.016,4,100,70,7.406","2,1,22,3.5181666666666667,1,2,1,2,1,1,2,2,1,1",if they went for the side with the least percentage
goalie_original,16,1/3/13,"0,90,21,38.65,1,86,100,22.98,3,67,92,20.12,2,89,48,23.88,4,90,68,19.86,7,77,76,21.52,5,88,97,19.25,6,74,52,16.6","3,1,55,7.41835,1,2,1,2,1,1,2,1,1,2",It was based on percentages that were presented regarding the striker's tendencies.
goalie_original,17,1/3/13,"1,73,78,14.48,0,82,82,17.389,3,81,82,12.649,2,79,44,15.975,7,82,80,10.387,6,22,26,8.257,4,79,82,9.346,5,34,25,12.403","1,1,34,5.463433333333334,1,2,1,2,1,1,2,2,1,1","I felt like if they knew the striker tended to kick it a certain way, they should go that way, and if they didn't, I felt like it was their own fault."
goalie_original,18,1/3/13,"1,97,51,22.63,0,50,87,19.005,3,56,73,14.091,2,67,38,26.484,4,86,68,18.663,6,44,19,21.843,7,14,32,166.652,5,88,98,14.802","7,1,35,9.289433333333333,1,2,1,2,1,1,2,2,1,1",I think I tried to give more credit to the goalkeeper when he/she used it's own instincts to save the ball and less credit when using the statistics.
